,Accession,Score,pVal (-log10),Rep1delta_SH,Rep2delta_SH,Rep1Group1_R2,Rep1Group2_R2,Rep1Group1_SH,Rep1Group2_SH,Rep1min_Slope,Rep2Group1_R2,Rep2Group2_R2,Rep2Group1_SH,Rep2Group2_SH,Rep2min_Slope
241,ITGAX,0.327,0.37,0.185,0.468,0.976,0.963,6.545,6.685,-0.061,0.945,0.964,6.717,6.249,-0.049
159,EPHB4,0.326,0.33,0.214,0.116,0.997,0.998,2.962,2.795,-0.432,0.991,0.99,3.444,3.339,-0.188
382,SIGLEC6,0.325,0.393,0.034,0.224,0.964,0.944,5.63,5.652,-0.047,0.936,0.945,5.632,5.702,-0.055
229,IL6R,0.324,0.412,0.067,0.304,0.932,0.95,6.13,6.177,-0.06,0.98,0.993,6.025,5.721,-0.05
423,SLC7A6,0.323,0.496,0.092,0.062,0.848,0.952,7.789,7.744,-0.709,0.967,0.928,7.987,7.933,-0.08
121,CNNM4,0.322,0.343,0.107,0.207,0.984,0.985,3.839,3.834,-1.11,0.948,0.994,4.3,4.247,-0.56
443,TGFB1,0.321,0.407,0.772,0.281,0.979,0.907,6.271,7.044,-0.06,0.803,0.914,6.779,6.499,-0.054
222,IGF1R,0.32,0.327,0.212,0.187,0.996,0.994,3.347,3.266,-0.38,0.998,0.998,2.801,2.709,-0.132
58,ATRN,0.317,0.386,0.135,0.399,0.951,0.953,6.462,6.504,-0.054,0.948,0.988,6.662,6.263,-0.046
145,DYNC1LI1,0.316,0.349,0.339,0.088,0.986,0.965,4.143,4.481,-0.206,0.972,0.942,4.377,4.451,-0.207
70,C20ORF3,0.313,0.347,0.152,0.157,0.977,0.973,6.637,6.618,-0.135,0.973,0.977,6.518,6.361,-0.102
20,ALCAM,0.313,0.481,0.225,0.393,0.857,0.941,7.93,7.705,-0.023,0.972,0.896,7.433,7.825,-0.039
333,PVRL2,0.311,0.367,0.148,0.139,0.969,0.95,6.786,6.934,-0.068,0.984,0.987,6.909,7.031,-0.071
454,TNFRSF10B,0.311,0.439,0.247,0.278,0.938,0.898,6.376,6.534,-0.078,0.982,0.966,6.343,6.62,-0.052
354,RCC2,0.311,0.382,0.481,0.212,0.995,0.906,4.484,4.965,-0.197,0.921,0.984,4.646,4.434,-0.171
412,SLC39A6,0.311,0.334,0.179,0.147,0.982,0.983,6.825,6.755,-0.092,0.974,0.955,7.061,6.982,-0.07
169,FAS,0.31,0.38,0.124,0.148,0.935,0.966,6.132,6.098,-0.087,0.988,0.985,5.969,5.9,-0.079
157,ENTPD1,0.31,0.417,0.33,0.098,0.938,0.918,6.772,7.102,-0.058,0.961,0.936,6.709,6.674,-0.058
385,SLC12A2,0.308,0.33,0.088,0.315,0.977,0.989,5.046,5.064,-0.211,0.997,0.994,4.951,5.258,-0.185
431,SPINT1,0.307,0.356,0.273,0.162,0.963,0.964,6.709,6.971,-0.074,0.973,0.97,6.804,6.893,-0.061
270,MERTK,0.306,0.311,0.211,0.142,0.994,0.997,4.25,4.038,-0.159,0.999,0.995,3.928,3.837,-0.185
420,SLC6A6,0.305,0.367,0.169,0.117,0.961,0.948,7.516,7.347,-0.056,0.969,0.971,6.843,6.726,-0.045
368,RTN4RL2,0.303,0.408,0.153,0.34,0.879,0.98,6.922,6.852,-0.05,0.947,0.955,6.847,6.507,-0.052
373,SDK1,0.302,0.327,0.123,0.277,0.981,0.979,5.078,4.955,-0.097,0.983,0.99,5.127,4.919,-0.081
261,LRRC8D,0.301,0.354,0.262,0.17,0.944,0.977,5.46,5.303,-0.207,0.978,0.987,4.921,4.752,-0.138
287,NEO1,0.3,0.321,0.121,0.221,0.982,0.985,5.693,5.614,-0.07,0.979,0.985,5.953,5.733,-0.061
166,FAM49B,0.298,0.391,0.329,0.069,0.966,0.905,5.741,6.039,-0.898,0.892,0.913,5.6,5.595,-0.169
250,KTN1,0.298,0.333,0.157,0.484,0.975,0.971,3.922,4.05,-0.331,0.983,0.997,4.016,3.532,-0.194
83,CD244,0.298,0.339,0.046,0.272,0.97,0.966,6.914,6.892,-0.047,0.985,0.987,6.387,6.241,-0.045
101,CD97,0.297,0.443,0.067,0.137,0.911,0.898,7.713,7.758,-0.04,0.96,0.924,7.981,8.118,-0.099
135,CYBB,0.297,0.33,0.125,0.528,0.968,0.981,5.856,5.971,-0.043,0.916,0.988,5.629,5.101,-0.057
281,NAPA,0.296,0.395,0.327,0.072,0.967,0.896,5.094,5.42,-0.179,0.921,0.929,5.215,5.179,-0.186
84,CD302,0.296,0.307,0.173,0.187,0.989,0.994,6.234,6.297,-0.071,0.992,0.983,6.273,6.277,-0.06
289,NOTCH2,0.294,0.308,0.245,0.113,0.982,0.995,3.971,3.829,-0.109,0.997,0.994,4.048,4.009,-0.093
109,CLDND1,0.293,0.418,0.066,0.164,0.916,0.914,7.47,7.537,-0.042,0.951,0.962,7.171,7.336,-0.051
27,AP2A1,0.291,0.42,0.401,0.104,0.936,0.889,4.989,5.362,-0.176,0.932,0.941,4.863,4.925,-0.135
89,CD44,0.291,0.405,0.195,0.294,0.916,0.926,7.905,7.71,-0.047,0.949,0.873,7.761,7.591,-0.053
92,CD48,0.29,0.426,0.26,0.038,0.886,0.931,7.527,7.663,-0.052,0.969,0.961,7.47,7.456,-0.049
44,ATP1B1,0.29,0.323,0.244,0.095,0.968,0.978,6.853,6.609,-0.146,0.985,0.978,6.62,6.57,-0.141
202,HCK,0.288,0.323,0.471,0.076,0.986,0.957,4.747,4.897,-0.98,0.958,0.964,4.907,4.831,-0.893
279,MSN,0.286,0.325,0.437,0.101,0.96,0.977,4.191,4.628,-0.249,0.919,0.99,4.175,4.073,-1.057
269,MDH2,0.285,0.331,0.238,0.167,0.991,0.935,6.579,6.812,-0.137,0.975,0.946,6.576,6.652,-0.125
465,TXNDC14,0.284,0.339,0.259,0.155,0.974,0.941,5.438,5.696,-0.109,0.903,0.858,5.394,5.512,-0.155
219,ICAM3,0.284,0.303,0.093,0.271,0.979,0.988,6.917,6.824,-0.049,0.992,0.994,6.69,6.419,-0.044
108,CKAP4,0.28,0.324,0.063,0.46,0.958,0.97,5.509,5.558,-0.118,0.881,0.954,5.623,5.163,-0.095
305,PDIA3,0.28,0.357,0.418,0.121,0.968,0.915,5.668,5.807,-0.197,0.9,0.91,6.155,6.104,-0.081
263,LYN,0.278,0.341,0.196,0.12,0.922,0.98,4.515,4.319,-1.008,0.901,0.98,4.97,4.862,-0.827
370,S100A6,0.277,0.358,0.311,0.126,0.948,0.927,6.932,7.243,-0.18,0.957,0.952,6.995,7.121,-0.117
375,SEMA4A,0.275,0.304,0.227,0.136,0.985,0.966,6.291,6.518,-0.084,0.983,0.984,6.255,6.303,-0.067
231,IQGAP1,0.275,0.357,0.223,0.075,0.964,0.911,4.396,4.583,-0.441,0.804,0.888,4.446,4.519,-1.027
243,ITGB2,0.274,0.458,0.216,0.026,0.833,0.929,7.306,7.341,-0.033,0.956,0.946,7.569,7.547,-0.033
337,QSOX2,0.273,0.331,0.478,0.073,0.993,0.915,5.566,6.044,-0.157,0.966,0.974,5.442,5.381,-0.137
319,PODXL2,0.271,0.404,0.138,0.351,0.875,0.937,6.667,6.547,-0.049,0.92,0.915,6.869,6.518,-0.044
170,FASN,0.27,0.406,0.08,0.163,0.888,0.919,4.383,4.331,-0.273,0.812,0.947,4.478,4.314,-0.269
167,FAM62A,0.265,0.318,0.512,0.123,0.957,0.954,4.375,4.093,-0.485,0.879,0.921,4.416,4.477,-0.212
35,ARF6,0.263,0.383,0.238,0.03,0.978,0.847,5.921,6.113,-0.187,0.964,0.92,6.11,6.14,-0.194
449,TMED10,0.258,0.316,0.469,0.122,0.98,0.921,6.123,6.592,-0.167,0.929,0.932,6.3,6.295,-0.119
117,CLTC,0.256,0.423,0.147,0.078,0.903,0.861,4.245,4.391,-0.433,0.824,0.884,4.379,4.39,-0.374
216,HSPD1,0.253,0.305,0.205,0.167,0.984,0.926,6.559,6.72,-0.126,0.944,0.932,6.612,6.762,-0.119
25,ANXA2,0.247,0.303,0.716,0.347,0.983,0.919,5.261,5.976,-0.153,0.832,0.971,5.499,5.152,-0.15
239,ITGAM,0.244,0.36,0.262,0.556,0.887,0.927,7.4,7.37,-0.099,0.96,0.938,6.942,7.46,-0.045
245,ITM2B,0.243,0.328,0.219,0.114,0.91,0.946,5.699,5.599,-0.058,0.903,0.96,5.761,5.647,-0.053
392,SLC1A3,0.24,0.435,1.719,1.198,0.919,0.807,5.95,7.467,-0.764,0.93,0.961,5.913,4.715,-0.073
155,ENG,0.24,0.329,0.258,0.145,0.9,0.949,6.985,6.736,-0.042,0.957,0.917,6.85,6.705,-0.041
174,FCGR2C,0.238,0.347,0.222,0.087,0.916,0.904,7.006,7.203,-0.046,0.946,0.947,6.745,6.751,-0.04
262,LTBR,0.237,0.428,0.352,0.161,0.838,0.887,6.513,6.524,-0.046,0.957,0.95,6.39,6.546,-0.037
95,CD69,0.233,0.32,0.141,0.202,0.914,0.935,7.837,7.973,-0.047,0.984,0.944,7.62,7.823,-0.056
463,TUBB2C,0.231,0.338,0.299,0.114,0.912,0.907,6.149,5.903,-0.101,0.839,0.904,6.218,6.147,-0.116
15,ADPGK,0.23,0.356,0.46,0.161,0.936,0.858,5.868,6.329,-0.119,0.873,0.936,6.091,6.046,-0.101
40,ATP11B,0.228,0.302,0.172,0.193,0.915,0.951,7.141,6.977,-0.239,0.884,0.883,7.216,7.067,-0.303
2,ABCC4,0.221,0.321,0.27,0.071,0.922,0.9,6.972,7.057,-0.242,0.95,0.945,6.983,7.052,-0.252
179,FZD2,0.208,0.304,0.244,0.119,0.919,0.9,6.299,6.289,-0.057,0.883,0.925,6.781,6.702,-0.064
320,PON2,0.208,0.367,0.433,0.72,0.918,0.821,5.649,6.048,-0.125,0.902,0.939,6.127,5.407,-0.081
450,TMEM206,0.205,0.329,0.246,0.156,0.882,0.895,7.193,7.338,-0.101,0.912,0.931,7.265,7.333,-0.072
81,CCT3,0.203,0.331,0.427,0.098,0.928,0.844,5.89,6.317,-0.271,0.801,0.883,5.832,5.774,-0.154
47,ATP2B4,0.194,0.378,0.312,0.148,0.854,0.84,6.609,6.917,-0.162,0.932,0.859,7.029,7.05,-0.205
111,CLEC2A,0.166,0.307,0.173,0.548,0.863,0.852,8.05,8.223,-0.043,0.959,0.923,7.987,7.439,-0.044
