Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA52,V_log2.i._TMT_3_iTSA52,V_log2.i._TMT_5_iTSA52,V_log2.i._TMT_7_iTSA52,D_log2.i._TMT_2_iTSA52,D_log2.i._TMT_4_iTSA52,D_log2.i._TMT_6_iTSA52,D_log2.i._TMT_8_iTSA52
Q8IYQ7,-0.035,0.7493,0.1961,4823177.587950067,4769082.832731269,4823177.587950067,4992873.243303354,4805023.113150241,4794955.714128977,4707461.874841022,4634408.225327733
Q9UBB4,-0.0361,0.7496,0.1961,27127280.134702094,28243622.04241252,27035529.56410725,26993883.86292675,26048551.247316495,26589998.315295234,26942785.18575592,27109351.008125663
O95182,0.1137,0.7498,0.1961,5179780.598969307,4863672.310746881,4111566.5787145533,4189130.5954274135,5210621.426298496,4647458.719633622,4805023.113150241,5110844.334874242
Q8IUR0,-0.0471,0.7495,0.1961,2339467.360267709,2344640.7553405142,2369500.3936949736,2252560.5558116618,2186005.69672756,2180756.985020581,2281402.8033719454,2362394.15267677
Q92804,0.0377,0.7495,0.1961,158654106.21181917,155491392.63588428,153598182.06296635,157132218.36252487,164082707.28575578,163782387.18328482,155045912.33316126,158654106.21181917
Q13868,-0.0375,0.7471,0.1946,17812679.788676202,18103469.5233741,18922516.509910356,18604212.0105946,18065936.535252243,17990179.18074939,17960108.75050612,17529093.929280788
P83369,-0.0473,0.747,0.1946,1168223.0621019225,1189777.7803668533,1187401.220126104,1216820.5480301834,1223783.2012377807,1120640.6110676602,1123225.6999338544,1143580.8930041085
Q9BQT8,-0.0494,0.7471,0.1946,3835352.902702072,3864752.1630671965,3924756.5045576342,3648205.5334386355,3504486.7768010115,3708155.953943483,3790691.739260824,3757240.5135456445
P48147,-0.0413,0.7454,0.1942,26466217.561894655,27240980.382295523,26968924.99795916,26244858.983087357,24783176.566843987,26302669.45283017,26197135.962520026,26645422.436934117
O14907,-0.051,0.7456,0.1942,484115.570346553,487119.2597147474,525627.6342233638,510358.1232524455,464781.55805549904,483227.5623717438,499785.93983645644,489254.12534169236
