Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA52,V_log2.i._TMT_3_iTSA52,V_log2.i._TMT_5_iTSA52,D_log2.i._TMT_2_iTSA52,D_log2.i._TMT_4_iTSA52,D_log2.i._TMT_6_iTSA52
O94913,-0.0379,0.6524,0.078,10718401.810415573,11006655.957190739,10902195.420660915,10430443.453536686,10551373.53824522,10605697.064381056
O43847,-0.0386,0.6521,0.078,71111003.52147996,70905596.18112583,72637887.99843232,67719454.21077487,70183171.6352363,69807667.43357322
Q9UJZ1,-0.0463,0.6518,0.078,8273789.3129116,8709028.903318956,8300625.297064841,7970726.359421771,8265670.310605117,8100159.692770035
P49189,-0.0361,0.6516,0.078,39336487.390394114,38713832.24756551,38997130.08861565,37452159.463221125,38006137.81127132,38006137.81127132
Q6NYC1,0.044,0.6504,0.0777,6730781.066862339,6569502.087609622,6542034.649889309,6610465.9707611995,6900897.289963144,6821535.453017724
Q9H0V9,-0.0658,0.6505,0.0777,1414725.2719202675,1526487.007917107,1562248.4412930072,1433017.2941761236,1366679.8263214028,1476279.1949323018
Q9NZ63,0.0421,0.6494,0.0772,71272932.05611992,71700400.91325943,73581988.55922073,76022213.6982196,73734966.05177979,71852238.1202911
Q9BRP1,-0.042,0.6495,0.0772,6342742.1361688655,6412297.008714486,6360908.44177889,6024358.941054399,6311640.965356367,6119515.5239084205
P56211,0.0927,0.6487,0.0768,27368494.678360716,24337768.678873602,20999746.986055765,26123159.13234737,25484505.080503665,25484505.080503665
Q5JTZ9,-0.0456,0.6475,0.0765,9949450.78747437,10566430.067636887,10573942.640438778,9949450.78747437,9866869.040778415,10121344.487251064
Q9BWD1,0.0427,0.6459,0.0765,260670264.77648422,247451413.09918904,252152369.2200913,260670264.77648422,262910274.0453635,254838012.4969845
Q9NVA2,0.0409,0.6461,0.0765,106148173.05940148,105594886.34954712,107180043.8126318,110882411.64287709,110059051.52737981,105166075.22057073
Q93045,0.0434,0.6461,0.0765,210108902.40248284,199574763.4226227,201473575.23164317,211207436.323688,205634783.67401052,209193393.51403302
Q8IX12,-0.0356,0.6468,0.0765,62553035.0791473,62453174.490638934,61660252.86181082,60243714.47961135,60310384.2019722,60457961.09267198
Q8NHZ8,0.092,0.6466,0.0765,4287667.228492015,4133789.2555008098,3484515.012895204,4511251.884160653,4036405.5974786663,4070128.1260241116
P42224,-0.0594,0.648,0.0765,24069905.968463507,25569602.373937804,23864210.620892674,21993293.981017515,23989944.596178498,24130947.697382443
Q1KMD3,-0.052,0.6458,0.0765,35621831.52798353,37834901.93505488,35509602.62531468,33547315.525242276,35135203.53020047,35789508.116406806
Q8N9N2,-0.0569,0.647,0.0765,3486444.705018439,3523415.3668870074,3753884.2888489733,3383041.325998607,3317702.352246124,3581847.24162233
P55010,-0.0371,0.6471,0.0765,113313712.77184933,113149158.16300635,112254573.9781606,108222315.99235839,108832324.72711521,111060085.43799245
Q96Q11,-0.0428,0.6452,0.0762,12209800.228718454,12619203.611499676,12562207.595750501,11695677.338901715,12134373.096230788,12246649.604818547
Q96I24,-0.0359,0.6443,0.0762,60724913.330887266,59728457.1452472,61767358.97408292,58905395.930809595,59324320.2896667,58421656.11777845
Q9NRG9,-0.0518,0.6434,0.0762,1263641.3750077847,1339722.7488741393,1322688.1343916885,1242740.5136831664,1260267.5899857085,1261416.2473230956
P47897,-0.0556,0.6433,0.0762,30151963.125998992,32524260.293660145,31160036.33704045,28411094.60366308,30441599.101124197,30883678.41669477
Q7Z5L9,-0.0599,0.644,0.0762,18114774.740246702,17908179.02483777,19218290.155985244,18757204.701655682,17005651.357282665,16905821.070701867
Q6P2Q9,-0.0547,0.6446,0.0762,61231213.10173291,65505488.73469359,62553035.0791473,57515292.762735955,60856155.46790758,62768194.27246694
P05204,0.054,0.6434,0.0762,435666097.61427987,440297764.9654526,486428830.9909468,466118198.5824426,469661658.16389227,469661658.16389227
Q96FJ2,0.0826,0.644,0.0762,12914091.962346286,12209800.228718454,10450545.104390148,12429106.911054738,12751884.398146024,12275282.066714846
Q32P41,-0.2459,0.6427,0.0761,2257295.387670937,3211277.0345150265,2085273.852401148,2057527.810160515,2167636.853455084,2108725.739510794
Q96R06,-0.0428,0.643,0.0761,13601575.63328284,13765561.088149946,14428563.027446395,13601575.63328284,13235379.16746891,13486958.209920015
P45880,-0.0741,0.6308,0.0758,85827118.65665914,90648461.57912208,82073826.9917845,73494248.17382918,85629421.31766455,85021379.9960521
P15927,0.0394,0.6393,0.0758,55715821.92821976,54651739.49582274,53585121.86002918,56055539.35358477,55784150.76295066,55643586.2760505
Q13098,-0.0392,0.6334,0.0758,53251613.38096859,53034422.02415144,54779613.45095386,52792583.76260759,52373648.6882869,50619632.58103954
Q9UPW6,-0.0451,0.6286,0.0758,7206272.217315605,7212591.972739346,7670921.409868661,7138043.882578718,6969056.014270557,7169450.263268482
Q9Y3C0,-0.0455,0.6294,0.0758,2899693.5330334376,2905496.749531254,2929733.8517940114,2890272.7237757873,2801033.13637756,2721302.377743721
P55196,-0.0354,0.6317,0.0758,59527272.63345852,60045856.10257294,60180201.440188,57200385.331859566,58497005.97462922,58625692.36257583
P29374,0.0567,0.6297,0.0758,2887426.97585769,2760715.4600716317,2838638.9856370282,2762423.4967064504,3028772.528416467,2982153.0483215177
Q15853,0.0616,0.6381,0.0758,4154280.2103200424,3968645.6969243684,4054098.75051635,4429335.72223081,4283757.16761817,3918753.7559551373
Q00059,0.0425,0.636,0.0758,140768882.98206505,136093889.3477964,133821890.54430003,141741203.20782164,140484842.54757905,138208783.07157832
Q07866,-0.0379,0.6328,0.0758,53840103.218612924,53750762.31716329,56262882.8144948,53163177.88425876,52792583.76260759,52662612.61148805
Q07864,-0.059,0.6411,0.0758,3740056.074852594,4038534.1268418347,4063360.4014268676,3760945.3182821283,3614566.8696819306,3921320.7138632666
