Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA52,V_log2.i._TMT_3_iTSA52,V_log2.i._TMT_5_iTSA52,D_log2.i._TMT_2_iTSA52,D_log2.i._TMT_4_iTSA52,D_log2.i._TMT_6_iTSA52
Q86U42,-0.0085,0.0859,0.0013,67558105.68246919,67156447.9854383,67156447.9854383,66093800.51623724,66346672.23310573,67069128.50343512
Q8IY18,-0.0553,0.5527,0.0013,6459121.10701605,6344203.949635144,6575587.782662687,6030483.685619527,6274154.521457529,6235935.693452057
P16157,-0.0554,0.5912,0.0013,26602723.20665814,28348235.628728203,27301485.19887046,25743671.212499715,25818793.32147908,27127280.134702094
Q68EM7,-0.0224,0.178,0.0013,4997034.81888127,5001543.134447904,5203420.973386341,4882101.233634399,5008251.043804078,4989698.93784252
Q9BUL5,0.0742,0.7872,0.0013,5625540.437776461,5509726.28897647,5617201.3229967,5943331.04096617,5939616.443809471,5651389.209835734
Q15544,0.0484,0.2835,0.0013,648572.240117198,617977.7243242941,680520.794073917,696989.0039376465,646065.696417073,658394.2496973966
Q9UPU5,-0.0773,0.8234,0.0013,8328854.967301994,8747690.3971887,8796978.711018017,7840222.136349006,8106801.907082169,8431227.515537752
O75449,-0.029,0.2361,0.0013,5084237.979779767,5057626.749390073,5227861.463318243,5113919.783171931,4848307.322532641,5012930.528323997
Q9UBP6,-0.0405,0.3504,0.0013,4569945.406559468,4761807.173326446,4930446.86928049,4686515.715808373,4569945.406559468,4528081.580045823
O60488,-0.0284,0.1353,0.0013,1013689.899089409,1121868.9981081414,992643.2366245287,924106.947641727,1090781.6615482187,1034968.7021085664
Q96PL5,0.0186,0.1223,0.0013,2625686.824179309,2794638.7811040715,2687360.749337116,2593262.647314337,2774639.1379913255,2796772.4347335235
P63244,-0.0327,0.263,0.0013,89433972.89270225,98157859.28754148,89160794.71442598,82003062.83665733,92257914.19890663,94723341.55341142
Q05086,-0.0221,0.2374,0.0013,53750762.31716329,54400961.704894945,55715821.92821976,53403137.91746424,54042147.15864289,52986443.8749011
O95571,0.0198,0.1408,0.0013,7951683.257859615,7673280.534500007,7353544.225301642,7872263.169197294,7860354.835310983,7431323.585895934
P05114,0.0576,0.6373,0.0013,64570060.81084667,61767358.97408292,70694957.5502337,69098177.81119688,67440940.0425346,67282911.95792513
O75061,0.0172,0.1478,0.0013,23915449.47025366,23711428.580270506,24288088.21508627,24581707.56466876,24130947.697382443,23637972.48786527
Q69YN4,-0.0135,0.0776,0.0013,1827491.6453222567,1899174.1463544748,1928692.0644806547,1883457.1230585105,1763199.5742666544,1922455.9622020195
Q9C0F1,-0.0441,0.4137,0.0013,7956529.010432412,7782823.989989885,8039127.883872978,7552236.745753692,7673280.534500007,7702616.622116044
Q9Y282,-0.0297,0.2135,0.0013,2444915.2227028846,2456366.683653115,2355247.9048489085,2284016.781392683,2415987.2995579,2367638.26864963
Q9H0W9,0.0794,0.9275,0.0013,26347926.59275081,24985892.733823434,24241990.71860733,27180581.77143947,26036811.331785727,26179925.209019385
Q13404,-0.0088,0.0607,0.0013,53466271.228734516,52080398.07663916,47852192.43077227,50810377.60523843,47940921.35593134,52845024.55026579
