Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1_iTSA56,V_log2.i._TMT_3_iTSA56,V_log2.i._TMT_5_iTSA56,V_log2.i._TMT_7_iTSA56,V_log2.i._TMT_9_iTSA56,D_log2.i._TMT_2_iTSA56,D_log2.i._TMT_4_iTSA56,D_log2.i._TMT_6_iTSA56,D_log2.i._TMT_8_iTSA56,D_log2.i._TMT_10_iTSA56
Q92600,-0.0126,0.0648,0.0001,3462312.1062006317,3562447.7899866696,3642459.1703221747,3688298.5524754655,3166236.675567495,3138414.2490485734,3262968.9764266824,3645431.469813382,3732865.4308574763,3403088.0057351775
O75821,-0.0464,0.4604,0.0001,172880787.7236537,183393631.48880544,176136068.7032296,182733541.49571374,171020392.30281678,165867590.58593485,167782094.44877854,168791773.3345257,169912846.1779329,176136068.7032296
Q92769,-0.0637,0.5495,0.0001,32669567.277581297,34875623.170721,34842594.2534941,36058809.98851058,32320751.113564953,29263295.041017894,31211284.353196934,33269921.582700048,33501709.304562308,34370665.25483948
P01033,0.0196,0.0955,0.0001,2015720.4192486128,2202557.161103273,2077284.1009293667,2293629.921841403,2099031.8833364565,1943130.0899819667,2174898.510634109,2415638.8834236325,2286756.339603134,1897175.7470855252
P11387,0.0879,0.7151,0.0001,26810558.36761924,25693139.121861428,29263295.041017894,25085364.232571483,24790023.615867916,26057292.829907026,25575944.09604408,31280601.089091368,28686471.529390503,26847132.897071674
Q53H96,-0.0076,0.0445,0.0001,11297816.98689922,12365207.466194848,10887217.736416496,11081718.890154077,12720548.72884882,10727135.24393863,12157208.382706242,11391191.241872067,11183856.663224977,11923091.167212822
Q5TAX3,-0.0278,0.1751,0.0001,5792841.135488066,5810713.326918103,5778319.715424152,5519293.2504648985,6142938.418401863,5616059.305949376,5886794.233428183,5372769.481823242,5390366.810575743,5901322.658212982
P21796,-0.0113,0.0635,0.0001,91950251.18915786,83894439.69647402,90903341.41305837,76641131.24319953,76641131.24319953,80350201.71905047,77640604.77180919,90403846.38088627,85836945.31877834,78026326.31882007
P35579,-0.0494,0.3994,0.0001,410242193.48561734,410242193.48561734,426832609.60517716,423151555.7690186,372862340.5496771,370280167.8118481,366856307.6840039,416037297.49182177,410242193.48561734,389948724.13556904
Q969G6,-0.0603,0.3965,0.0001,2482809.172045695,2659290.4176983307,2246177.3009302723,2198362.5928101316,2552411.2371046683,2174898.510634109,2406200.74781629,2304325.6757708834,2279161.190290683,2342675.6139745717
Q9P0J0,-0.0004,0.0012,0.0001,1305641.6640395191,1205615.1577887943,1531816.3587705898,1277734.9077060365,1006501.5965211228,1307197.220215515,1063507.7088093369,1282790.6119935147,1431302.4490244514,1173618.1037175553
Q9HCN8,-0.0559,0.4467,0.0001,86505277.17909496,92508584.27389522,93996142.78843658,101443917.92953855,85836945.31877834,91274260.54631269,81171877.63789825,83350445.23954915,91156665.74220954,90903341.41305837
Q6PD62,0.0214,0.1485,0.0001,12790151.257715994,13344532.051073812,12447884.556968214,12060436.939283602,13086851.840415953,13263783.060959367,12318326.611396674,12820827.80535468,12283199.722992105,13256530.069723247
Q9BZE4,0.1101,0.6656,0.0001,1027897.978647091,1059823.0946577752,1206440.1363351373,1191070.5092270998,969726.0806581927,1080462.3125786865,1058413.6777905414,1254211.8718167199,1317319.9422236427,1115798.3867973944
Q9Y570,-0.0842,0.7624,0.0001,41750025.70358557,42941573.7744379,41340015.67484559,44222230.24013724,36794488.16113114,37258630.217893586,35947085.76153828,38882985.23259097,40044780.89007118,41016375.931574196
Q9HAU0,-0.0224,0.0978,0.0001,9805036.362071954,10088489.939288223,10965711.141338564,11712634.58826065,13421298.387390342,11168482.349597082,10278109.559815241,9589459.494414765,11222289.113897147,12273244.856981726
Q86VU5,0.1723,1.0393,0.0001,427819.8272533047,370340.1062214726,369222.9078694217,310072.10346774757,378498.7762026661,473947.4827403962,456177.6280825217,389176.46719388204,390952.0670002999,356339.38426476234
Q99504,-0.0601,0.2945,0.0001,965881.442371976,879207.0748954397,1009064.748551876,1072749.650215231,1092871.7742226676,995844.8388474919,979713.3339482022,822754.2225364125,918434.9833469548,1045932.6532911602
Q93034,-0.0239,0.1694,0.0001,55827947.848427445,57310698.33835003,52198650.743686795,51140031.02401789,52638000.78072481,46569315.789088376,53144027.48966905,53548011.2829747,53075904.99927751,55415782.85448723
P00505,0.0242,0.1794,0.0001,802577160.4897553,837492331.7452753,775565909.851669,789369535.0546969,833258137.100533,775565909.851669,837492331.7452753,829045355.4482033,829045355.4482033,789369535.0546969
Q5VYK3,-0.0242,0.177,0.0001,21505303.85624401,21680898.04429365,21450596.632629573,20141382.11997463,20403299.65105927,21238135.184412416,19164673.313932076,21152560.13093097,20563521.197658908,20154560.952009514
Q92620,-0.0059,0.0334,0.0001,5560586.392790406,5579985.374549343,5883305.574398187,5542053.164979723,5289324.9152301755,5289324.9152301755,5224160.064419625,5892842.472921725,5616059.305949376,5418641.987561285
Q9UID6,-0.0463,0.3248,0.0001,8191099.848158438,9071196.087747728,7892898.247794637,8077140.867814297,9085863.558027362,7668012.935093661,8503757.525194358,7828501.291439738,7852669.945603205,8655631.624150679
P36956,0.0243,0.1243,0.0001,1082435.7477843852,999966.5289512662,1146867.545525719,1180623.6612361316,1177488.0518574012,1149870.506902948,1122440.3056614676,1115798.3867973944,1129150.2813527286,1104681.2830211471
P11117,-0.0358,0.2224,0.0001,3325070.34076965,3304046.865944799,3438796.2321581673,3609371.79580952,3135496.524995729,3057147.521640801,3133752.67091283,3427021.3522448707,3331414.576287083,3276452.8499812786
Q9BXV9,0.0457,0.17,0.0001,10267433.446428366,7279983.803271067,11005408.266931202,11252259.080047864,11513613.080033444,10775415.836727366,12299742.442897126,9671219.51167574,9474737.086711626,10213749.601864
P60228,0.0073,0.0428,0.0001,19297512.546640377,18186945.415346697,18936357.8631602,17296595.8186082,16834122.441341594,17126367.3495219,16511641.423351893,19443742.39914711,18936357.8631602,18019727.017389797
Q96EY7,0.0249,0.1308,0.0001,2202557.161103273,2101213.663018857,2153561.390980946,1837151.1791280922,1937912.229405056,1876506.6991555102,2093424.5477407584,2201146.457152049,2170553.5571237407,1954911.138641385
O43663,-0.0493,0.3342,0.0001,10351469.268862598,11522431.218893388,11464968.45763356,12494066.343850756,10256036.388616769,9826018.263941156,10367227.636010163,11477440.283363141,11171499.426594963,10775415.836727366
Q15056,0.0576,0.4097,0.0001,554487213.0168258,585835841.8026932,621663588.3878859,637782561.280364,582173144.9289707,697364309.875561,576512596.7175289,608327414.3483648,590099158.4552679,596030034.3578227
Q96FH0,-0.0333,0.1464,0.0001,1966727.911527279,2289048.0237876577,2403754.3538448806,2641930.858703138,1990406.2085209647,1915734.62962228,2065472.3691514158,2329004.263680368,2410785.3296083445,2196693.930998915
Q13895,-0.0261,0.1603,0.0001,6107181.793124695,5845798.334756701,6031244.161487551,5463931.286609744,5362912.818906656,5583896.693032907,5295204.605402293,5856140.717685186,5711216.601193394,5536967.833445974
Q9NUN5,0.0356,0.2145,0.0001,1849820.2527106458,1793348.0990346596,1820400.9958889086,1675887.7956391973,1620374.5608754903,1662798.4066957645,1739467.1703664241,1846474.323068914,1833700.168539774,1797865.4690350373
