Accession,T37.0,T47.4,T51.0,T53.9,T56.8,T59.9,T62.5,T65.6,T69.0,RSD
SERBP1,0.9999,0.9825,0.8805,0.6875,0.5266,0.5531,0.4745,0.3421,0.2632,0.0
SERINC3,0.9999,0.9262,0.7267,0.7177,0.6711,0.6695,1.0911,1.2308,1.2904,0.0
SIGLEC10,0.9999,0.9167,0.5922,0.575,0.4334,0.2349,0.2136,0.1796,0.161,0.0
SIGLEC6,0.9999,0.8477,0.6148,0.5239,0.4407,0.3663,0.3117,0.2647,0.2797,0.0
SLAMF6,0.9999,0.871,0.6943,0.6377,0.5409,0.5947,0.5079,0.4117,0.3781,0.0
SLC11A2,0.9999,0.7098,0.5079,0.4701,0.539,0.6199,1.0586,1.3515,1.6669,0.0
SLC12A2,0.9999,0.8692,0.7507,0.663,0.5038,0.0757,0.0245,0.0261,0.0261,0.0
SLC12A4,0.9999,0.9405,0.7436,0.4769,0.2544,0.1365,0.1327,0.1237,0.1426,0.0
SLC12A6,0.9999,0.9583,0.7762,0.6395,0.3701,0.1448,0.0445,0.0422,0.0352,0.0
SLC12A7,0.9999,0.747,0.3059,0.0888,0.0541,0.0545,0.0403,0.0331,0.033,0.0
SLC16A1,0.9999,1.1062,1.0114,1.1797,1.6123,2.4378,2.8938,2.1599,2.2001,0.0
SLC19A1,0.9999,0.9037,0.7564,0.7245,0.6397,0.6321,0.5288,0.3064,0.2417,0.0
SLC19A2,0.9999,0.8835,0.8146,0.683,0.8451,1.0151,0.6963,0.3796,0.1727,0.0
SLC1A4,0.9999,0.9128,0.8371,0.8925,0.8975,0.9927,0.8424,0.6041,0.5693,0.0
SLC1A5,0.9999,0.8732,0.7651,0.7469,0.7072,0.7541,0.623,0.4434,0.4486,0.0
SLC20A1,0.9999,0.8386,0.8047,0.7399,0.5306,1.1291,0.8808,0.5396,0.5019,0.0
SLC20A2,0.9999,0.8716,0.9246,0.9585,0.8028,1.5742,1.2378,0.7804,0.7258,0.0
SLC22A23,0.9999,0.872,0.8106,0.8222,0.7603,0.7832,0.6661,0.485,0.4247,0.0
SLC22A4,0.9999,0.7675,0.6698,0.6931,0.6348,1.0584,0.7856,0.4703,0.2205,0.0
SLC22A5,0.9999,1.0307,0.8125,0.7032,0.7094,0.5991,0.5528,0.238,0.0101,0.0
SLC23A2,0.9999,0.8681,0.78,0.7946,0.8039,0.7572,0.7796,0.5507,0.5461,0.0
SLC25A11,0.9999,0.9378,0.8467,0.9978,1.1822,1.0998,1.1511,0.938,1.0313,0.0
SLC25A13,0.9999,0.958,0.7855,0.7966,1.0061,1.1102,1.1064,0.4642,0.1472,0.0
SLC25A3,0.9999,0.953,0.8607,0.9198,1.0939,1.3779,2.0096,1.8873,1.9625,0.0
SLC25A4,0.9999,1.0969,0.8695,0.8913,0.8032,1.2775,1.5451,1.7173,1.8828,0.0
SLC25A5,0.9999,0.9158,0.825,1.0088,1.0529,1.4656,1.675,1.3935,0.8489,0.0
SLC26A2,0.9999,0.8548,0.6622,0.1851,0.0588,0.0319,0.0251,0.0278,0.03,0.0
SLC26A6,0.9999,0.9205,0.7392,0.7377,0.8227,0.5743,0.1034,0.0539,0.0532,0.0
SLC29A1,0.9999,0.893,0.7579,0.8028,0.7167,0.8912,0.7524,0.5425,0.4946,0.0
SLC29A2,0.9999,0.8912,0.8518,0.8628,0.8011,0.7671,0.2139,0.0272,0.0208,0.0
SLC2A1,0.9999,0.8914,0.7897,0.7389,0.6945,0.7525,0.7162,0.6016,0.6011,0.0
SLC2A13,0.9999,0.9419,1.0476,0.7861,0.6118,0.9192,1.5619,2.0886,2.8143,0.0
SLC2A3,0.9999,0.9416,0.8678,0.8812,0.8407,0.9455,1.0007,0.7392,0.7589,0.0
SLC2A4,0.9999,1.0007,0.7764,0.7817,0.6472,0.5642,0.7117,0.6582,0.3882,0.0
