Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1,V_log2.i._TMT_2,V_log2.i._TMT_3,V_log2.i._TMT_4,V_log2.i._TMT_5,D_log2.i._TMT_6,D_log2.i._TMT_7,D_log2.i._TMT_8,D_log2.i._TMT_9,D_log2.i._TMT_10,D_log2.i._TMT_11
Q6PB44,0.0107,0.0841,0.0001,8582274.776323028,8361020.979417099,8699744.654825164,8834996.320965592,8299408.137672653,8536089.295199566,8448383.152172705,8272666.715025732,8542231.965279501,9582136.748672588,8349679.522518088
Q9WVI9,0.016,0.0751,0.0001,478333.85032371257,432886.3007382552,495125.73332395736,407182.3169297223,418675.02782952384,427274.6469713279,496342.68760734313,429380.3223866239,467615.4955602804,407554.72437077685,481493.11652258574
Q8JZK9,0.0103,0.0676,0.0001,2967601.94178795,3137934.156670955,2941427.074771857,3141586.7151509165,3384120.093676222,3172997.7898377366,2920576.6548399515,3247143.0580795277,3102474.002862621,3334120.4911578353,3049576.649056284
Q9JIP4,0.0117,0.0618,0.0001,409773.04551982926,402887.97371076874,389425.66933381674,394171.0258921899,435989.947048797,437508.1775666954,409773.04551982926,423072.14373860956,385907.70714616776,398697.2272263395,404277.8243296801
Q9WVA4,0.0244,0.1162,0.0001,8527836.300657714,8898093.599574354,7373441.37655578,8342520.711230258,6864524.36819672,8558594.10509419,7444103.695359687,7002901.151230014,7903979.710162767,9986239.863345668,7956484.270293598
Q8VD29,-0.0134,0.065,0.0001,383259.17202434264,366647.36401109083,405209.70045689965,401068.93325565464,367276.7905489921,373003.815813088,424792.7402280833,382190.26724918693,401563.2289584047,345375.8540618858,360800.6757028271
P59016,0.0317,0.1203,0.0001,204024.26436173014,240999.35325264354,228052.58395083802,251377.85704346656,239369.87592441068,228585.20070401207,190905.4218448674,251700.9809328009,219521.55084459836,288194.2528866562,249289.9147922085
O08532,-0.0076,0.0651,0.0001,57985496.15164644,55458470.5059389,58438134.5871127,57752184.72792582,56758211.424360886,55883338.57264401,60492700.793977246,56875114.403763324,56650964.92582779,53926542.05342566,58170605.959451854
Q9WV02,0.0088,0.0589,0.0001,2211787.2586963126,2218867.3451564265,2213366.8590830103,2186816.9201597627,2326740.8504361045,2301316.2983368495,2109182.3350741346,2330746.2757304623,2206819.9490831047,2213366.8590830103,2313960.160570239
Q8BH27,0.0186,0.0981,0.0001,4142057.5107418657,4116903.5581367183,3766919.8291498264,3872020.805435269,4822335.184355838,4514400.989722032,3467307.145931365,4260240.790118325,4180958.3135055313,4540160.659413895,4229374.238941788
Q811P8,0.007,0.0617,0.0001,10327764.737176241,10785228.079260089,10592264.05929302,10849859.032124769,11155464.018470896,11095353.189059665,10990298.993715603,10839040.406678766,10237676.966710439,10904649.50274276,10717415.382532306
A0A0N4SVL0,-0.0064,0.0585,0.0001,20850519.24354549,21404083.682530038,21127918.048852682,21277422.040234752,20605847.9084883,20482086.727317948,21154582.70851685,20634088.309300825,21082809.971736267,20850519.24354549,21611716.437257484
