Accession,T37.0,T44.0,T47.6,T50.5,T53.4,T56.5,T59.1,T62.2,T65.6,RSD
TMEM30A,0.9999,1.0496,1.0235,0.9939,0.9542,0.644,0.28,0.2329,0.2295,0.0
TMEM33,0.9999,1.0121,0.895,0.6862,0.6519,0.5343,0.3238,0.1866,0.1169,0.0
TNFRSF10B,0.9999,1.2017,1.0713,0.9718,0.7628,0.5603,0.471,0.5044,0.3865,0.0
TNFRSF14,0.9999,1.1035,1.1234,0.7982,0.8169,0.6306,0.5877,0.6525,0.7434,0.0
TPBG,0.9999,1.2165,1.1326,0.8805,0.7986,0.6648,0.8269,0.3974,0.3365,0.0
TPCN1,0.9999,1.1466,1.0,1.4011,1.3451,1.311,1.3348,0.5567,0.1415,0.0
TRPV2,0.9999,1.1489,1.1533,1.0035,0.9293,0.3403,0.089,0.1045,0.1047,0.0
TSPAN14,0.9999,1.103,1.0995,0.9599,0.9735,0.8303,0.6556,0.4087,0.3827,0.0
TSPAN2,0.9999,1.1655,1.0309,0.9374,0.9066,0.835,0.8775,0.8742,0.901,0.0
TSPAN3,0.9999,1.9536,1.8575,1.1249,1.1706,0.8861,0.9061,3.6755,7.964,0.0
TSPAN31,0.9999,1.3564,1.4769,1.2381,1.2048,0.9345,0.9664,2.1099,3.6559,0.0
TTC17,0.9999,2.4716,2.2679,0.7175,0.7715,0.5417,0.3562,0.3977,0.5914,0.0
TUBB2C,0.9999,1.1858,1.2108,0.8142,0.692,0.6529,0.4284,0.0871,0.0553,0.0
TXNDC10,0.9999,1.1229,1.1832,0.9654,0.5709,0.2663,0.146,0.1511,0.1426,0.0
TXNDC13,0.9999,1.4154,1.511,1.1626,0.9139,0.4162,0.4343,0.2143,0.1418,0.0
TXNDC14,0.9999,1.1031,1.2374,0.9768,0.6699,0.4921,0.2854,0.1297,0.1441,0.0
TXNDC4,0.9999,1.0429,1.0206,0.9037,0.7145,0.5677,0.4403,0.2678,0.2193,0.0
TYROBP,0.9999,1.6245,1.605,1.0877,1.0481,0.9731,0.9072,3.7941,3.1302,0.0
VAMP7,0.9998,1.4713,1.3564,0.8602,0.7351,0.5101,0.4235,0.346,0.2926,0.0
VAMP8,0.9999,1.1321,1.243,1.4343,1.5194,1.4367,2.3984,3.6425,6.4864,0.0
VAPA,0.9999,1.1535,1.1742,1.0347,0.9356,0.8815,0.475,0.3295,0.3944,0.0
VDAC1,0.9999,1.1158,1.1725,1.1295,0.9899,0.9789,1.0379,1.2571,2.8076,0.0
VIM,0.9999,1.0591,1.3378,0.9926,0.8612,0.484,0.4769,0.3296,0.263,0.0
VLDLR,0.9999,1.2034,1.2887,1.3658,1.1568,0.9023,0.8028,0.5131,0.5004,0.0
VPS13C,0.9999,1.2254,1.2371,0.8968,0.6878,0.2748,0.181,0.1864,0.2108,0.0
VTN,0.9999,1.2118,1.2496,1.1663,0.9392,0.8344,0.7358,0.5501,0.516,0.0
XK,0.9999,1.0823,1.0179,0.8994,0.8917,0.7446,0.6455,0.5658,0.3219,0.0
XRCC5,0.9999,1.1466,0.7023,0.475,0.3906,0.2582,0.208,0.1212,0.1129,0.0
YIPF3,0.9999,1.1502,1.1504,0.8556,1.0294,0.9458,1.1612,2.3319,2.4991,0.0
YWHAH,0.9999,1.1477,1.3441,0.9784,0.7557,0.3933,0.2532,0.164,0.1056,0.0
