Accession,T37.0,T44.0,T47.6,T50.5,T53.4,T56.5,T59.1,T62.2,T65.6,RSD
IGF2R,0.9999,1.1708,1.2705,1.225,1.0674,0.7751,0.666,0.5399,0.4501,0.0
IGFBP7,0.9999,1.1048,1.0623,1.0004,0.9018,0.742,0.7653,0.9268,1.2419,0.0
IL10RB,0.9999,0.871,1.0277,0.6526,0.4885,0.26,0.2028,0.128,0.1215,0.0
IL18R1,0.9999,1.0264,0.9516,0.6127,0.2872,0.1024,0.1056,0.1311,0.1428,0.0
IL1RAP,0.9999,0.9725,0.9583,0.8264,0.6661,0.3454,0.1519,0.0838,0.0996,0.0
IL2RG,0.9999,0.9576,0.9798,0.8454,0.5847,0.435,0.3437,0.2149,0.1588,0.0
IL6R,0.9999,0.9972,0.9733,0.8279,0.6512,0.5195,0.5132,0.341,0.2462,0.0
INSR,0.9999,0.7648,0.3429,0.292,0.1736,0.132,0.1397,0.1053,0.1056,0.0
IQGAP1,0.9999,1.377,1.6195,0.5953,0.2435,0.2005,0.1498,0.1461,0.1112,0.0
ITFG1,0.9999,1.1562,1.2246,1.3009,1.1961,0.8555,0.8141,0.7584,0.8564,0.0
ITFG3,0.9999,1.0178,0.9099,0.8842,0.8099,0.7657,0.7372,0.5154,0.2864,0.0
ITGA3,0.9999,1.0519,0.9897,0.9014,0.888,0.8091,0.8039,0.5083,0.4615,0.0
ITGA4,0.9999,1.0528,1.0147,0.8832,0.6921,0.4606,0.3855,0.2778,0.2068,0.0
ITGA5,0.9999,0.9892,0.9173,0.9154,0.8514,0.7431,0.7052,0.5331,0.3781,0.0
ITGA6,0.9999,1.0606,0.9845,0.8268,0.6893,0.559,0.5251,0.3864,0.2676,0.0
ITGAE,0.9999,1.0005,0.8225,0.3269,0.2163,0.1757,0.1489,0.027,0.01,0.0
ITGAL,0.9999,1.0944,1.0516,0.8578,0.8065,0.6476,0.5779,0.4164,0.2926,0.0
ITGAM,0.9999,0.9288,0.9198,0.9105,0.8142,0.6403,0.683,0.5745,0.4648,0.0
ITGAV,0.9999,1.2199,1.1883,0.9236,0.8802,0.5565,0.5787,0.4506,0.3082,0.0
ITGAX,0.9999,1.0681,1.0985,0.8599,0.8052,0.6169,0.5904,0.475,0.3505,0.0
ITGB1,0.9999,0.9956,0.9764,0.9362,0.9078,0.8106,0.8827,0.6987,0.5111,0.0
ITGB2,0.9999,0.9813,1.0057,0.9342,0.8859,0.7633,0.8147,0.6421,0.5563,0.0
ITIH2,0.9999,1.3682,1.3932,0.9395,0.7569,0.6734,0.7604,1.0163,0.8448,0.0
ITM2B,0.9999,1.1299,1.077,0.6891,0.5765,0.5821,0.4301,0.3348,0.1153,0.0
JAG1,0.9999,1.014,0.8918,0.734,0.6118,0.4217,0.3983,0.299,0.2692,0.0
JTB,0.9999,1.1295,1.1818,1.1568,1.0629,1.0642,1.2479,1.6477,2.2559,0.0
KCNAB2,0.9999,1.4766,1.7573,0.5287,1.0179,0.6767,1.1139,0.8023,0.4091,0.0
KIAA1797,0.9999,1.2655,1.1953,0.8757,0.3612,0.1141,0.067,0.0397,0.0741,0.0
KTN1,0.9999,1.1215,0.908,0.4074,0.2301,0.1349,0.0662,0.1487,0.1298,0.0
LAMP1,0.9999,1.237,1.3953,1.5097,1.3814,1.1499,1.3884,1.0928,0.896,0.0
LAMP2,0.9999,1.5164,1.6683,1.324,1.2709,1.1206,1.4471,1.5956,1.4955,0.0
LAT2,0.9999,1.1051,1.2202,0.8704,0.928,0.8955,0.9058,0.9173,0.6717,0.0
LCP1,0.9999,1.2695,1.3758,0.9015,0.8051,0.5181,0.3261,0.2327,0.1771,0.0
LDLR,0.9999,1.0685,1.2975,0.9454,0.8714,0.6649,0.5923,0.7797,0.76,0.0
LGALS1,0.9999,1.2555,1.2648,1.1706,1.2666,1.054,0.7864,0.3415,0.2407,0.0
LMAN2,0.9999,1.028,0.9842,0.7365,0.4728,0.2285,0.1822,0.1594,0.147,0.0
LNPEP,0.9999,1.0057,1.2448,1.2321,1.1328,0.94,1.1138,1.2668,1.748,0.0
LRPAP1,0.9999,1.0626,1.0889,1.0126,0.8687,0.694,0.6892,0.7953,0.6312,0.0
