,Accession,Score,Rep1pVal (-log10),Rep1delta_Tm,Rep1Group1_R2,Rep1Group2_R2,Rep1Group1_Tm,Rep1Group2_Tm,Rep1min_Slope,Rep2pVal (-log10),Rep2delta_Tm,Rep2Group1_R2,Rep2Group2_R2,Rep2Group1_Tm,Rep2Group2_Tm,Rep2min_Slope
526,XRCC5,0.0,4.366,5.06,0.983,0.997,39.33,44.39,-0.866,0.34,0.16,0.998,0.999,46.63,46.79,-1.288
525,VTN,0.0,0.681,1.16,0.961,0.949,56.45,57.61,-0.038,,,0.977,0.75,53.62,68.99,-0.04
524,VIM,0.0,0.557,-0.58,0.984,0.984,53.19,52.61,-0.211,0.359,0.24,0.996,0.995,52.84,53.08,-0.19
523,VDAC1,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,37.0,0.0
522,VCL,0.0,,,0.669,0.914,62.24,62.28,-0.89,0.47,-0.66,0.831,0.871,62.1,61.44,-0.884
521,VASP,0.0,0.416,0.52,0.992,0.995,48.22,48.74,-0.191,0.371,-0.3,0.999,0.999,48.67,48.37,-0.153
520,VASN,0.0,0.636,-0.76,0.974,0.976,58.4,57.64,-0.038,0.334,-0.15,0.981,0.961,60.6,60.45,-0.052
519,VAPA,0.0,0.522,0.8,0.982,0.98,56.5,57.3,-0.055,0.603,-1.07,0.987,0.98,57.35,56.28,-0.052
518,VAMP7,0.0,0.698,-0.89,0.991,0.956,54.36,53.47,-0.158,0.497,-0.75,0.961,0.96,50.92,50.17,-0.097
517,USP14,0.0,0.782,1.36,0.994,0.989,49.7,51.06,-1.147,0.407,-0.44,0.997,0.994,50.95,50.51,-0.194
516,UNC5B,0.0,0.678,-0.85,0.995,0.992,49.72,48.87,-0.192,0.418,-0.48,0.983,0.973,48.81,48.33,-0.156
515,UAP1,0.0,0.49,0.72,0.985,0.988,54.85,55.57,-0.236,0.373,-0.31,0.987,0.998,54.84,54.53,-0.132
514,TYRO3,0.0,0.352,-0.02,0.991,0.995,49.59,49.57,-0.123,,,0.991,0.737,59.0,53.8,-0.998
513,TXNDC4,0.0,3.251,-3.91,0.852,0.948,58.19,54.28,-0.091,0.501,-0.76,0.968,0.952,55.32,54.56,-0.113
512,TXNDC13,0.0,,,0.753,0.916,54.06,51.05,-0.86,0.424,-0.5,0.925,0.943,51.6,51.1,-0.116
511,TUBB2C,0.0,0.691,1.18,0.895,0.946,58.38,59.56,-0.09,1.232,-2.47,0.928,0.957,58.7,56.23,-0.088
510,TSPAN31,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,68.99,37.0,-0.0
